                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7063,                 3.8094,                 1.2276,                0.01555,                0.25317,                0.04459,                0.01485,                 1.4864,                 3.7426,                0.99151,                0.00015,                0.00015,                0.00015
                      2,                 1.5086,                   1.75,                 1.0487,                0.97449,                0.18406,                0.33604,                0.20545,                 1.4228,                 2.2642,                0.95692,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.3708,                 1.2056,                 1.0193,                0.96841,                0.19715,                0.28383,                0.19746,                 1.0273,                 1.8382,                0.92726,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.3222,                 1.1095,                 1.0161,                0.96722,                0.21419,                0.44377,                0.22585,                 1.3314,                 1.5957,                 1.0151,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.2655,                 1.0627,                  1.012,                0.97196,                0.37934,                0.41613,                 0.2607,                 1.2943,                 1.2526,                 1.0009,             0.00076832,             0.00076832,             0.00076832
                      6,                  1.182,                0.97332,                0.99526,                0.96373,                0.23384,                0.41958,                0.22839,                 1.2215,                 1.3574,                0.95541,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.2122,                 0.9808,                0.98038,                0.96173,                0.18935,                0.22227,                0.16666,                0.90635,                 1.2385,                0.91854,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.1973,                0.92773,                0.98533,                0.86444,                0.29911,                 0.3151,                0.20279,                 1.1228,                 1.3903,                0.94415,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1955,                0.95225,                0.98069,                0.98077,                0.21678,                0.25624,                0.20068,                0.81881,                 1.0372,                0.86719,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1641,                0.91668,                0.96787,                0.84519,                0.29386,                0.35288,                0.26942,                0.80755,                 1.0082,                0.86044,               0.001151,               0.001151,               0.001151
                     11,                 1.1218,                0.90961,                0.96783,                0.98131,                0.38643,                0.42571,                0.31024,                0.77097,                0.95312,                0.85907,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1436,                0.87803,                0.96895,                0.88903,                0.38731,                0.40549,                0.28729,                0.78474,                0.94866,                0.85995,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.1096,                0.85014,                0.94352,                0.97125,                 0.3948,                0.42623,                0.29089,                0.82194,                0.84768,                0.86547,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0518,                0.79038,                0.93105,                0.97297,                0.39532,                0.43056,                0.31495,                0.75793,                0.76945,                0.85529,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0974,                0.80922,                0.95363,                0.88225,                0.38625,                0.44479,                0.32714,                0.83135,                0.83868,                0.86246,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.1019,                0.81012,                0.95777,                0.95085,                0.38839,                0.44765,                0.29752,                0.95523,                0.77822,                0.88955,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0787,                0.80773,                0.94103,                0.96801,                0.38404,                0.45975,                0.31805,                0.77312,                 0.7314,                0.84882,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0615,                0.78555,                0.93628,                0.96386,                0.37959,                 0.5001,                0.37421,                0.74103,                0.66127,                0.84769,               0.001052,               0.001052,               0.001052
                     19,                 1.0234,                0.76331,                0.92597,                0.95886,                0.38541,                0.47596,                0.32841,                0.82344,                0.70652,                 0.8663,              0.0010396,              0.0010396,              0.0010396
                     20,                0.98451,                0.73459,                0.91863,                0.95292,                  0.399,                0.53768,                0.42494,                0.71488,                0.66496,                0.83884,              0.0010273,              0.0010273,              0.0010273
                     21,                0.95667,                0.70628,                0.91113,                0.98094,                0.48199,                0.54673,                0.42708,                0.76675,                   0.66,                0.84802,              0.0010149,              0.0010149,              0.0010149
                     22,                0.99365,                0.73236,                0.91259,                0.96921,                0.37828,                0.52482,                0.41313,                0.77089,                0.77643,                  0.849,              0.0010025,              0.0010025,              0.0010025
                     23,                0.99773,                0.72799,                0.91931,                0.95503,                0.38529,                0.56122,                0.44466,                0.68806,                0.65276,                0.83781,             0.00099013,             0.00099013,             0.00099013
                     24,                0.96318,                0.69339,                0.91332,                0.97456,                0.47536,                0.60734,                0.45964,                0.69345,                0.62812,                0.83481,             0.00097775,             0.00097775,             0.00097775
                     25,                0.96167,                 0.6857,                 0.9077,                0.98652,                0.46673,                0.60233,                0.50652,                0.67646,                0.59926,                0.83387,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0204,                0.70634,                0.92631,                 0.9719,                0.46976,                 0.6424,                0.49188,                0.74263,                0.62924,                0.84366,               0.000953,               0.000953,               0.000953
                     27,                0.95657,                0.67935,                0.91971,                0.65656,                0.59669,                0.63669,                0.48084,                0.68809,                0.63318,                0.83551,             0.00094062,             0.00094062,             0.00094062
                     28,                 0.9119,                0.65117,                0.90343,                0.89129,                0.58108,                0.67318,                0.49045,                0.69417,                0.55048,                0.83736,             0.00092825,             0.00092825,             0.00092825
                     29,                0.92992,                 0.6578,                0.91041,                0.89572,                0.60756,                 0.6627,                0.50945,                 0.7608,                0.61991,                0.85199,             0.00091588,             0.00091588,             0.00091588
                     30,                0.92115,                0.65557,                0.90628,                 0.7244,                 0.6267,                0.62725,                0.48812,                0.72163,                0.58335,                0.84559,              0.0009035,              0.0009035,              0.0009035
                     31,                0.91563,                0.63971,                0.90512,                0.80562,                0.66621,                0.73503,                0.59131,                0.67653,                0.54922,                0.83515,             0.00089112,             0.00089112,             0.00089112
                     32,                0.86488,                0.60974,                0.88662,                0.60855,                0.82596,                0.81607,                0.67554,                0.64304,                0.53032,                0.82516,             0.00087875,             0.00087875,             0.00087875
                     33,                0.88979,                0.62669,                0.89104,                0.65829,                0.82978,                0.78436,                0.60907,                 0.6782,                0.53152,                0.82977,             0.00086637,             0.00086637,             0.00086637
                     34,                0.86722,                0.59603,                0.89115,                0.88638,                0.76482,                0.84985,                0.70588,                0.64388,                0.49927,                0.82509,               0.000854,               0.000854,               0.000854
                     35,                0.88084,                0.61924,                0.88074,                 0.8112,                0.82274,                0.85634,                0.71221,                0.65085,                0.53935,                0.82624,             0.00084162,             0.00084162,             0.00084162
                     36,                0.88588,                0.60475,                0.88901,                0.75426,                0.83073,                0.86526,                0.70067,                0.70871,                 0.5071,                0.83794,             0.00082925,             0.00082925,             0.00082925
                     37,                0.84525,                0.57291,                0.88942,                 0.7882,                0.83073,                0.87183,                0.72949,                0.63061,                0.50421,                0.82387,             0.00081688,             0.00081688,             0.00081688
                     38,                0.90027,                0.59854,                 0.8984,                0.73215,                0.85363,                0.86666,                0.70623,                0.67008,                0.49347,                0.83115,              0.0008045,              0.0008045,              0.0008045
                     39,                0.84582,                0.56236,                 0.8974,                0.70892,                0.82883,                 0.8475,                0.70977,                0.69062,                0.50173,                0.83448,             0.00079213,             0.00079213,             0.00079213
                     40,                0.91758,                0.59351,                0.89783,                0.63985,                0.81475,                0.84277,                0.66794,                0.67885,                0.52246,                0.83318,             0.00077975,             0.00077975,             0.00077975
                     41,                0.84625,                0.56238,                0.89087,                0.93354,                0.78626,                0.90795,                0.73575,                0.62038,                0.46414,                0.82474,             0.00076738,             0.00076738,             0.00076738
                     42,                0.86101,                0.57984,                0.88855,                0.86973,                0.81699,                0.91072,                0.74531,                0.63149,                0.49634,                0.82272,               0.000755,               0.000755,               0.000755
                     43,                0.85083,                0.56925,                0.88332,                0.75642,                0.86359,                0.90854,                 0.7515,                0.63273,                0.47443,                0.82251,             0.00074263,             0.00074263,             0.00074263
                     44,                0.84867,                 0.5593,                0.87702,                0.69935,                0.92876,                0.93735,                0.78679,                0.71338,                0.51329,                0.83761,             0.00073025,             0.00073025,             0.00073025
                     45,                0.84207,                0.55367,                0.87932,                0.86532,                0.82554,                0.92266,                0.79308,                 0.6532,                0.47256,                0.82612,             0.00071788,             0.00071788,             0.00071788
                     46,                0.83769,                0.56175,                0.87929,                0.93628,                0.82097,                0.89584,                0.75042,                0.63717,                0.45843,                0.82401,              0.0007055,              0.0007055,              0.0007055
                     47,                0.80846,                0.54041,                0.87122,                0.71118,                0.86015,                0.88388,                0.73734,                0.64301,                0.47423,                0.82365,             0.00069313,             0.00069313,             0.00069313
                     48,                0.78259,                0.53545,                0.87113,                0.78212,                0.86074,                0.88497,                0.74029,                0.63895,                0.46375,                0.82239,             0.00068075,             0.00068075,             0.00068075
                     49,                0.81674,                0.54037,                0.87407,                0.93256,                  0.849,                0.87506,                0.72637,                0.63865,                0.45889,                0.82232,             0.00066838,             0.00066838,             0.00066838
                     50,                0.80598,                0.53404,                0.88406,                0.92329,                0.85641,                0.87746,                0.73408,                0.61797,                0.44905,                0.81962,               0.000656,               0.000656,               0.000656
                     51,                0.82172,                0.54615,                0.87792,                0.89747,                0.85871,                0.89248,                  0.756,                0.63639,                0.44635,                0.82016,             0.00064362,             0.00064362,             0.00064362
                     52,                0.79097,                0.52844,                0.87676,                0.93443,                0.83193,                0.90061,                0.76913,                0.59695,                0.43009,                0.81519,             0.00063125,             0.00063125,             0.00063125
                     53,                0.78732,                0.51378,                0.87402,                0.96353,                0.86293,                0.97713,                 0.7391,                0.64958,                0.44197,                0.82305,             0.00061887,             0.00061887,             0.00061887
